business_name,country,metro_seed,niche,public_email,website,phone_from_osm,address_from_osm,why_this_is_a_fit,suggested_offer_angle,source,osm_type,osm_id,outreach_status,last_contacted,gmail_message_id,gmail_thread_id,outreach_notes
Jac Electric Inc,Canada,Toronto,Electrical contractor,Jacelect@yahoo.ca,https://jacelectricinc.ca/,+1 647-880-1537,"5956, Brookhaven Way, Mississauga, ON, L5V 2T9","Estimating, bid packages, RFIs/addenda, service-call intake, job photos, quote follow-up, and dispatch handoffs are repetitive but high-stakes.","Bid/spec review and service-call intake workflow: RFIs, exclusions, addenda, quote follow-up, and job-status tracking.",OpenStreetMap / Overpass API public email business tags,node,13347445578,sent,2026-06-22,19ef1e0380ef6392,19ef1ba30d432b7c,factual_review_passed; sent_via_gmail; included_website_and_cal_link
John The Plumber,Canada,Toronto,Plumbing contractor,john@johntheplumber.ca,https://johntheplumber.ca/oakville/,+1 289-644-3856,"2020, Winston Park Drive, Oakville, ON, L6H 6X7","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,7772320651,sent,2026-06-22,19ef1e0475709c71,19ef1ba498c2dccd,factual_review_passed; sent_via_gmail; included_website_and_cal_link
AquaLux Drain and Plumbing,Canada,Toronto,Plumbing contractor,info@aqualuxdp.ca,https://aqualuxdp.ca/,+1 416 951 0777,"380, Janene Court, Mississauga, Ontario, L5A 3Z3","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,9083330290,bounced,2026-06-22,19ef1e05b8bf10f5,19ef1ba65593cdb3,bounced; dns_mx_host_resolution_failure; sent_via_gmail; included_website_and_cal_link
Premium Plumbers,Canada,Toronto,Plumbing contractor,info@premiumplumbers.ca,https://premiumplumbers.ca/,+1-905-717-1126,"19, Hollywood Hill Circle, Woodbridge, ON, L4H 2P5","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,10275701246,sent,2026-06-22,19ef1e06982b9b3a,19ef1ba7cc0b2268,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Lisi Services,Canada,Toronto,Plumbing contractor,hello@lisiservices.com,https://www.lisiservices.com/,+1 877-321-5474,"111a, Zenway Boulevard, Vaughan, Ontario, L4H 3H9","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,13747304062,sent,2026-06-22,19ef1e0786625f4c,19ef1ba96f5734d9,factual_review_passed; sent_via_gmail; included_website_and_cal_link
JRG Mechanical,Canada,Toronto,HVAC contractor,jrgmechanical@yahoo.com,https://jrgmechanical.ca/,+1-416-568-3531,"715, Fenmar Drive, Toronto, M9L 1C8","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,5329369366,sent,2026-06-22,19ef1e0863c0ec0f,19ef1bab09301e93,factual_review_passed; sent_via_gmail; included_website_and_cal_link
City Energy Heating & Air Conditioning,Canada,Toronto,HVAC contractor,info@city-energy.ca,https://www.city-energy.ca,+1-647-830-0083,"7165, Yonge Street, Markham, ON, L3T 0C9","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,10082930294,sent,2026-06-22,19ef1e0935dbcbb5,19ef1bacc168b195,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Seasonal Home Comfort,Canada,Toronto,HVAC contractor,info@seasonalhomecomfort.ca,http://seasonalhomecomfort.ca,+1-416-937-5620,"3150, Ridgeway Drive, Toronto, L5L 5Y3","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,10184252645,sent,2026-06-22,19ef1e0a0869beae,19ef1bae56aa526f,factual_review_passed; sent_via_gmail; included_website_and_cal_link
HVAC-Group Mississauga,Canada,Toronto,HVAC contractor,Info@hvac-group.com,https://hvac-group.com/city/mississauga/,+1-416-807-2752,"1767, Branchwood Park, Mississauga, ON, L4W 2E5","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13234239600,sent,2026-06-22,19ef1e0ad1f6c7aa,19ef1bafcb188e14,listing_only_factual_claim; sent_via_gmail; included_website_and_cal_link
Limcan Certified Heating and Air Conditioning,Canada,Toronto,HVAC contractor,info@limcancertified.ca,https://www.limcancertified.ca/,+1-905-427-2577,"105, Consumers Drive, Whitby, Ontario, L1N 2C2","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13335107365,sent,2026-06-22,19ef1e0bb36951a7,19ef1bb16f07b592,factual_review_passed; sent_via_gmail; included_website_and_cal_link
AtlasCare Heating & Cooling,Canada,Toronto,HVAC contractor,info@atlascare.ca,https://www.atlascare.ca/,+1-647-905-0482,"2751, Coventry Road, Oakville, Ontario, L6H 5V9","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13357583903,sent,2026-06-25,19efeae7ea6eb87f,19efe9b191778a3f,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Mersey Heating and Air Conditioning,Canada,Toronto,HVAC contractor,info@merseyheating.ca,https://www.merseyheating.ca/,+1-416-752-8351,"1960, Ellesmere Road, Scarborough, Ontario, M1P 3C2","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13456683242,sent,2026-06-25,19efeae8a7cdb7eb,19efe9b394f59581,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Thermocool Mechanical,Canada,Toronto,HVAC contractor,service@thermocoolmech.com,https://thermocoolmech.com/,+1-905-264-8099,"15, Airview Road, Etobicoke, ON, M9W 4P1","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,way,58854899,sent,2026-06-23,19ef5b202078f504,19ef5a2e9d26f28a,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Detail Roofing,Canada,Toronto,Roofing contractor,detail@detailroof.ca,https://detailroof.ca/,+1-905-230-2969,"5700, Timberlea Boulevard, Mississauga, L4W 5B9","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,5204506085,sent,2026-06-25,19efeae9d5008b89,19efe9b590af98b2,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Principal Roofing,Canada,Toronto,Roofing contractor,clientcare@principalroofing.ca,https://principalroofing.ca/,+1 289-552-6774,"16, Industrial Parkway South, Aurora, ON, L4G 0R4","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,node,11648741221,sent,2026-06-23,19ef5b1d7c9e54bf,19ef5a289f48b216,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Can-Sky Roofing & Sheet Metal Incorporated,Canada,Toronto,Roofing contractor,info@canskyroofing.com,https://www.canskyroofing.com/,+1-416-763-5131,"26, Taber Road, Etobicoke, ON, M9W 3A5","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,way,32540010,sent,2026-06-23,19ef5b1f04f84fe0,19ef5a2c72b5717e,factual_review_passed; sent_via_gmail; included_website_and_cal_link
Dominion Roofing,Canada,Toronto,Roofing contractor,info@dominionroofing.com,https://www.dominionroofing.com/,+1 416-789-0601,"113, Cartwright Avenue, North York, ON, M6A 1V4","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,way,32556500,sent,2026-06-25,19efeaeaa9b50082,19efe9b76d0a3ade,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Ollie's Roofing Ltd.,Canada,Toronto,Roofing contractor,sandy@olliesroofing.com,https://www.olliesroofing.com/,+1 905-876-1843,"591B, McGeachie Drive, Milton, ON, L9T 3L5","Lead intake, inspection photos, estimate follow-up, insurance paperwork, crew scheduling, and bid/package review are manual and deadline-sensitive.","Inspection-photo, estimate follow-up, insurance-document, and crew scheduling automation; optional bid/package review.",OpenStreetMap / Overpass API public email business tags,way,67594284,sent,2026-06-25,19efeaeb91884e90,19efe9b92b0fd56f,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Gibson Greenwood,Canada,Toronto,Carpentry / finish contractor,hello@gibsongreenwood.com,https://www.gibsongreenwood.com,+1-416-531-0681,"80, Ward Street, Toronto, Ontario, M6H 4A6","Quote requests, scope clarification, vendor/material tracking, job-photo documentation, and client follow-up are often spreadsheet/email-driven.","Quote request triage, scope clarification, material/vendor follow-up, and client update workflow.",OpenStreetMap / Overpass API public email business tags,node,13284187160,sent,2026-06-25,19efeaec7011c25c,19efe9ba95834887,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Konstruction Group Inc.,Canada,Toronto,Carpentry / finish contractor,info@konstruction.ca,https://konstruction.ca,+1-416-901-6020,"1315, Lawrence Avenue East, Toronto, ON, M3A 3R3","Quote requests, scope clarification, vendor/material tracking, job-photo documentation, and client follow-up are often spreadsheet/email-driven.","Quote request triage, scope clarification, material/vendor follow-up, and client update workflow.",OpenStreetMap / Overpass API public email business tags,node,13703569606,sent,2026-06-25,19efeaedd590a5fe,19efe9bcc1df7c43,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Ecopainting Inc,Canada,Toronto,Painting contractor,contact@ecopainting.ca,https://ecopainting.ca/,+1-416-733-7767,"1200, Markham Road, Toronto, ON, M1H 3C3","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,9550027723,sent,2026-06-25,19efeaee98b1f81e,19efe9be576df7ca,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Better Choice Painters,Canada,Toronto,Painting contractor,info@betterchoicepainters.ca,https://www.betterchoicepainters.ca/,+1-647-559-2900,"68, Lakeridge Drive, Scarborough, Ontario, M1C 5E2","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,13670573943,sent,2026-06-25,19efeaef7c8105db,19efe9bfd31a1367,draft_review_passed; sent_via_gmail; included_website_and_cal_link
The Exterminators Inc. Pest Control Toronto,Canada,Toronto,Landscaping contractor,contact@theexterminators.ca,https://www.theexterminators.ca,+1-647-496-2211,"740, Broadview Avenue, Toronto, ON, M4K 2P1","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,node,7632836816,sent,2026-06-25,19efeaf08f9975ad,19efe9c1bf667899,category_corrected_to_pest_control; draft_review_passed; sent_via_gmail; included_website_and_cal_link
Lawn Troopers,Canada,Toronto,Landscaping contractor,info@lawntroopers.com,https://lawntroopers.com/,+1 416-320-8491,"101, Kenpark Avenue, Brampton, ON, L6Z 3K5","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,node,8414840396,sent,2026-06-25,19efeaf16970f8b8,19efe9c32407b451,draft_review_passed; sent_via_gmail; included_website_and_cal_link
FTR Contracting,Canada,Toronto,Builder / general contractor,ftrcontractings@gmail.com,https://tradersolutionbusiness.com/profilepage/location/c73e3203-cce9-433b-bdf3-078e4ae54372/ftr-contracting,+1-647-406-2226,"7, Hayfield Crescent, Richmond Hill, L4E 0A3","Bid invites, subcontractor follow-up, RFIs, change orders, owner updates, and document tracking are direct fits for AI-assisted workflow review.","Subcontractor bid invite tracking, RFI/change-order log, owner update, and document-review workflow.",OpenStreetMap / Overpass API public email business tags,node,5362289125,sent,2026-06-25,19efeaf238acfae7,19efe9c532e2a8f5,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Boonstra Heating and Air Conditioning,Canada,Hamilton,HVAC contractor,info@boonstraright-time.ca,https://www.boonstraright-time.ca/,+1-289-348-1593,"120, Nebo Rd, Hamilton, Ontario, L8W 2E4","Seasonal demand, service scheduling, quote follow-up, maintenance reminders, warranty/admin forms, and technician handoffs create measurable automation opportunities.","Seasonal lead intake, maintenance reminder, quote follow-up, and technician handoff automation.",OpenStreetMap / Overpass API public email business tags,node,13325753696,sent,2026-06-25,19efeaf31af26129,19efe9c718ef685e,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Russell Painting & Finishing,Canada,Hamilton,Painting contractor,dylan@russellpainting.ca,https://www.russellpainting.ca/,+1 905 902 0897,"23, Valridge Court, Ancaster, Ontario, L9G 4Y5","Estimate follow-up, job scheduling, client reminders, color/spec notes, and invoice follow-up are straightforward small-business automations.","Estimate follow-up, scheduling, client reminder, and invoice follow-up workflow.",OpenStreetMap / Overpass API public email business tags,node,12691952522,sent,2026-06-25,19efeaf3f6dc5adc,19efe9c88ba0dcdb,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Maple Hill Tree Services,Canada,Hamilton,Landscaping contractor,contactus@maplehilltree.com,https://maplehilltree.com/,+1 905-824-2100,"1220, Heritage Road, Burlington, ON, L7L4X9","Recurring maintenance schedules, quote follow-up, route/crew coordination, seasonal reminders, and customer messages are likely under-systematized.","Recurring service schedule, quote follow-up, crew route/status, and seasonal reminder workflow.",OpenStreetMap / Overpass API public email business tags,node,8923654084,sent,2026-06-25,19efeaf54dea42ed,19efe9c9f9493219,draft_review_passed; sent_via_gmail; included_website_and_cal_link
Pentech Plumbing & Mechanical LTD.,Canada,Ottawa,Plumbing contractor,info@pentechplumbing.com,https://www.pentechplumbingmechanical.com/,+1-613-804-2544,"15, Fitzgerald Road, Ottawa, K2H 9G1","Missed calls, quote intake, dispatch status, job photos, invoice follow-up, and maintenance reminders are practical AI/workflow automation entry points.",Missed-call/quote intake and dispatch workflow with follow-up reminders and job-photo/admin capture.,OpenStreetMap / Overpass API public email business tags,node,7547587489,sent,2026-06-25,19efeaf6415adb69,19efe9cb4409df0c,draft_review_passed; sent_via_gmail; included_website_and_cal_link
